,0,total_value
269,감전,-0.2727272727272727
270,감점,-0.8571428571428572
271,감정,-0.2571428571428571
272,감지,-0.1538461538461538
273,감촉,0.5775862068965518
274,감추,-0.19999999999999996
275,감출,-0.5384615384615385
276,감칠맛,-0.045454545454545414
277,감탄,0.3710691823899371
278,감하,0.8333333333333333
279,감히,0.0
280,갑,0.3922077922077922
281,갑니다,-0.03921568627450983
282,갑인,0.5384615384615385
283,갑자기,-0.42644873699851416
284,값,-0.4434857635893011
285,값싸,0.47826086956521735
286,값싼,-0.5625
287,값어치,-0.5215311004784688
288,갓,-0.34851936218678814
289,갓김치,-0.7333333333333334
290,갔,-0.5149802148106275
291,갔다오,-0.7692307692307692
292,갔다왔,-0.08571428571428569
293,갔었,0.23809523809523814
294,갔으면,-0.75
295,강,0.30512249443207123
296,강남,-0.6363636363636365
297,강도,-0.14792899408284027
298,강력,0.6223776223776223
299,강력히,0.09090909090909088
300,강사,0.05263157894736842
301,강산,0.6000000000000001
302,강색,0.17241379310344823
303,강아지,0.2548656163113994
304,강약,0.11111111111111116
305,강요,-0.4615384615384615
306,강원도,0.05882352941176472
307,강의,0.45762711864406774
308,강점,0.5384615384615385
309,강제,-0.4188034188034188
310,강조,-0.5217391304347827
311,강지,-0.17647058823529416
312,강철,-0.11111111111111116
313,강추,0.9363503649635037
314,강풍,-0.6160000000000001
315,강하,0.035353535353535304
316,강한,0.09696969696969693
317,강한지,-0.25
318,강할,-0.3333333333333333
319,강함,-0.6216216216216217
320,강해,-0.3333333333333333
321,강해서,-0.2384615384615385
322,강해요,-0.407035175879397
323,강했,-0.2195121951219512
324,강화,-0.413953488372093
325,갖,-0.2659675881792183
326,갖다대,-0.7692307692307692
327,갖은,-0.2727272727272727
328,갖추,0.1538461538461538
329,갖춘,0.48148148148148145
330,갖춰,0.06666666666666665
331,갗,0.3333333333333333
332,같,-0.012424289485944984
333,같애,0.5714285714285714
334,같이,-0.0338648443432043
335,개,-0.3322281996747154
336,개개,-0.2727272727272727
337,개개인,-0.06666666666666665
338,개고,-0.3846153846153846
339,개고생,-0.7878787878787878
340,개구,-0.12000000000000005
341,개구리,-0.1538461538461538
342,개기름,-0.28571428571428575
343,개꿀,0.9555555555555555
344,개념,-0.43703703703703706
345,개당,-0.24503311258278143
346,개더,0.32499999999999996
347,개도,-0.11864406779661013
348,개떡,-0.9493670886075949
349,개똥,-0.7948717948717949
350,개마,0.6666666666666667
351,개맛,0.05263157894736842
352,개면,-0.13043478260869562
353,개무,-0.8999999999999999
354,개미,-0.7894736842105263
355,개발,-0.20833333333333331
356,개방,0.0
357,개별,-0.019891500904159143
358,개봉,-0.5214152700186219
359,개뿔,-0.9607843137254901
360,개사,-0.1594202898550725
361,개산,-0.4545454545454546
362,개선,-0.3552631578947369
363,개성,0.5833333333333333
364,개소리,-0.894736842105263
365,개수,-0.19512195121951215
366,개시,-0.23943661971830982
367,개아,-0.16666666666666669
368,개안,0.2888888888888889
369,개업,-0.14285714285714285
370,개였,-0.4375
371,개오,-0.6666666666666667
372,개옴,-0.625
373,개와,-0.8571428571428572
374,개요,0.05555555555555558
375,개용,0.3333333333333333
376,개운,0.06666666666666665
377,개월,0.052083333333333315
378,개의,0.5
379,개이,-0.09090909090909088
380,개인,-0.037130270610446825
381,개인차,-0.5217391304347827
382,개입,0.5555555555555556
383,개작,-0.8666666666666667
384,개정,-0.2918287937743191
385,개조,-0.2173913043478261
386,개주,-0.8999999999999999
387,개중,-0.7676470588235293
388,개짱,-0.4285714285714286
389,개추,0.2727272727272727
390,개취,-0.29032258064516125
391,개털,-0.4871794871794872
392,개통,0.18367346938775508
393,개판,-0.9845360824742269
394,개폐,-0.75
395,개피,0.07692307692307687
396,객,0.0
397,갠,0.41617021276595745
398,갠데,-0.6923076923076923
399,갤,-0.0066225165562914245
400,갤러리,0.9090909090909092
401,갤럭시,0.4498567335243553
402,갬,0.47368421052631576
403,갭,-0.47826086956521735
404,갯,-0.2539184952978057
405,갰,-0.16666666666666669
406,갱,-0.736842105263158
407,갸,0.5357142857142858
408,갼,0.5
409,걔,-0.4166666666666667
410,거,-0.12631351972974914
411,거거,0.05882352941176472
412,거금,-0.5384615384615385
413,거기,-0.2492063492063492
414,거긴,-0.16666666666666669
415,거꾸로,-0.797752808988764
416,거나,-0.3142857142857143
417,거니,-0.7142857142857142
418,거대,-0.4666666666666666
419,거든요,0.34782608695652173
420,거들,-0.5384615384615385
421,거들떠,-0.7
422,거듭,0.28571428571428575
423,거뜬히,0.6551724137931034
424,거랑,-0.3090909090909091
425,거래,-0.7120622568093384
426,거래처,-0.6756756756756757
427,거려,-0.6458333333333333
428,거렸,-0.1538461538461538
429,거르,-0.76
430,거를,-0.6363636363636365
431,거름,-0.5238095238095237
432,거름망,-0.4666666666666666
433,거리,-0.37854889589905366
434,거림,-0.8
435,거립니다,-0.855263157894737
436,거뭇거뭇,-0.8378378378378379
437,거미줄,-0.9166666666666667
438,거부,-0.09894736842105267
439,거북,-0.48
440,거북목,0.22222222222222227
441,거북이,-0.8461538461538463
442,거슬려,-0.75
443,거슬려서,-0.22580645161290325
444,거슬렸,0.5384615384615385
445,거슬리,-0.12786885245901636
446,거슬릴,0.13043478260869562
447,거슬림,-0.5263157894736843
448,거슬립니다,-0.826086956521739
449,거시,-0.6000000000000001
450,거시기,-0.7142857142857142
451,거실,0.42042755344418054
452,거요,0.28571428571428575
453,거운,-0.3333333333333333
454,거울,-0.07377979568671966
455,거원,-0.6190476190476191
456,거위,-0.19999999999999996
457,거의,-0.3381642512077294
458,거이,-0.3548387096774193
459,거저,0.10344827586206895
460,거제,-0.3333333333333333
461,거져,-0.5454545454545454
462,거주,-0.125
463,거즈,-0.24675324675324672
464,거지,-0.9363636363636363
465,거진,-0.39534883720930236
466,거짓,-0.873015873015873
467,거짓말,-0.7531914893617022
468,거참,-0.8
469,거치,-0.3023255813953489
470,거치대,-0.21839080459770116
471,거친,-0.10891089108910895
472,거칠,-0.7270194986072422
473,거칠거칠,-0.7358490566037736
474,거트,0.5421686746987953
475,거품,0.040650406504065095
476,거하,-0.09090909090909088
477,걱정,0.5753968253968254
478,건,-0.4447459118574466
479,건가,-0.6562162162162162
480,건가요,-0.8697318007662835
481,건강,0.6344993968636912
482,건강식,0.2727272727272727
483,건너,-0.4545454545454546
484,건담,0.44999999999999996
485,건대,-0.3877551020408163
486,건더기,-0.3962264150943396
487,건데,-0.44013050570962475
488,건데요,-0.2833333333333334
489,건드려도,-0.75
490,건드리,-0.5769230769230769
491,건들,-0.7931034482758621
492,건들건들,-0.5
493,건들여,-0.8181818181818181
494,건디,-0.31034482758620685
495,건물,-0.47368421052631576
496,건반,-0.5294117647058822
497,건성,0.36462093862815886
498,건승,0.7777777777777777
499,건식,0.3846153846153846
500,건어물,0.3050847457627119
